set Se := 1 2 3 4 5 6;
set St := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25;

param: C :=
1  7
2  7
3  7
4  7
5  7
6  7;

param:  R :=
1	1	1
2	1	1
3	1	1
4	1	1
5	1	1
6	1	8
7	1	8
8	1	8
9	1	8
10	1	8
11	1	64
12	1	64
13	1	64
14	1	64
15	1	64
16	1	1
17	1	1
18	1	1
19	1	1
20	1	1
21	1	27
22	1	27
23	1	27
24	1	27
25	1	27
1	2	8
2	2	8
3	2	8
4	2	8
5	2	8
6	2	1
7	2	1
8	2	1
9	2	1
10	2	1
11	2	8
12	2	8
13	2	8
14	2	8
15	2	8
16	2	216
17	2	216
18	2	216
19	2	216
20	2	216
21	2	1
22	2	1
23	2	1
24	2	1
25	2	1
1	3	27
2	3	27
3	3	27
4	3	27
5	3	27
6	3	27
7	3	27
8	3	27
9	3	27
10	3	27
11	3	1
12	3	1
13	3	1
14	3	1
15	3	1
16	3	125
17	3	125
18	3	125
19	3	125
20	3	125
21	3	216
22	3	216
23	3	216
24	3	216
25	3	216
1	4	64
2	4	64
3	4	64
4	4	64
5	4	64
6	4	64
7	4	64
8	4	64
9	4	64
10	4	64
11	4	27
12	4	27
13	4	27
14	4	27
15	4	27
16	4	64
17	4	64
18	4	64
19	4	64
20	4	64
21	4	125
22	4	125
23	4	125
24	4	125
25	4	125
1	5	216
2	5	216
3	5	216
4	5	216
5	5	216
6	5	216
7	5	216
8	5	216
9	5	216
10	5	216
11	5	125
12	5	125
13	5	125
14	5	125
15	5	125
16	5	8
17	5	8
18	5	8
19	5	8
20	5	8
21	5	8
22	5	8
23	5	8
24	5	8
25	5	8
1	6	125
2	6	125
3	6	125
4	6	125
5	6	125
6	6	125
7	6	125
8	6	125
9	6	125
10	6	125
11	6	216
12	6	216
13	6	216
14	6	216
15	6	216
16	6	27
17	6	27
18	6	27
19	6	27
20	6	27
21	6	64
22	6	64
23	6	64
24	6	64
25	6	64
